video_name,video_url,main_cat_name,sub_cat_name,url_1080,url_720,url_480,url_360,url_240,thumbnail,duration
How to Read the Bible,https://www.jw.org/en/library/videos/#en/mediaitems/VODBibleTeachings/pub-ebtv_13_VIDEO,The Bible,Bible Teachings,,https://akamd1.jw-cdn.org/sg2/p/951b84/2/o/ebtv_E_13_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/79ba39f/2/o/ebtv_E_13_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/cb71330/2/o/ebtv_E_13_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/bed9ec5/2/o/ebtv_E_13_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/1102020446/univ/art/1102020446_univ_wss_lg.jpg,3:45
Dig for Treasures—Micah,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesDigForTreasures/pub-jwb-136_7_VIDEO,Series,Dig for Treasures,,https://akamd1.jw-cdn.org/sg2/p/9cad70/1/o/jwb-136_E_07_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/dab3eea/1/o/jwb-136_E_07_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/a25aea/1/o/jwb-136_E_07_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/278c61f/1/o/jwb-136_E_07_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/jwb-136/univ/art/jwb-136_univ_wss_07_lg.jpg,6:12
How to Read the Bible,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesBibleTeachings/pub-ebtv_13_VIDEO,Series,Essential Bible Teachings,,https://akamd1.jw-cdn.org/sg2/p/951b84/2/o/ebtv_E_13_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/79ba39f/2/o/ebtv_E_13_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/cb71330/2/o/ebtv_E_13_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/bed9ec5/2/o/ebtv_E_13_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/1102020446/univ/art/1102020446_univ_wss_lg.jpg,3:45
Learn From Jehovah’s Friends—Elijah,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesJehovahsFriends/pub-ljf_9_VIDEO,Series,Learn From Jehovah’s Friends,,https://akamd1.jw-cdn.org/sg2/p/9c09025/1/o/ljf_E_009_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/5c8eef/1/o/ljf_E_009_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/5f2f6cf/1/o/ljf_E_009_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/d64949b/1/o/ljf_E_009_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/503000127/univ/art/503000127_univ_wss_lg.jpg,3:07
Episode 6: “Are You the Coming One?”,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesGoodNews/pub-gnj_6_VIDEO,Series,The Good News According to Jesus,https://akdd1.jw-cdn.org/sg2/p/6709ca1/1/o/gnj_E_06_r1080P.mp4,https://akdd1.jw-cdn.org/sg2/p/d14e5e6/1/o/gnj_E_06_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/fcdd73e/1/o/gnj_E_06_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/ac85e98/1/o/gnj_E_06_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/d90a0a5/1/o/gnj_E_06_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/1112023112/univ/art/1112023112_univ_wss_lg.jpg,50:35
Episode 5: “Astounded at His Way of Teaching”,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesGoodNews/pub-gnj_5_VIDEO,Series,The Good News According to Jesus,https://akdd1.jw-cdn.org/sg2/p/e8765c/2/o/gnj_E_05_r1080P.mp4,https://akdd1.jw-cdn.org/sg2/p/49b8b9d/2/o/gnj_E_05_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/051c954/2/o/gnj_E_05_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/b0e61d3/2/o/gnj_E_05_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/f0aea0/2/o/gnj_E_05_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/1112023111/univ/art/1112023111_univ_wss_lg.jpg,30:47
Episode 4: “This Is Why I Have Come”,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesGoodNews/pub-gnj_4_VIDEO,Series,The Good News According to Jesus,https://akdd1.jw-cdn.org/sg2/p/9a3b4d2/1/o/gnj_E_04_r1080P.mp4,https://akdd1.jw-cdn.org/sg2/p/4475879/1/o/gnj_E_04_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/022d7b/1/o/gnj_E_04_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/1b6de3a/1/o/gnj_E_04_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/bd113f/1/o/gnj_E_04_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/1112023108/univ/art/1112023108_univ_wss_lg.jpg,54:56
