video_name,video_url,main_cat_name,sub_cat_name,url_1080,url_720,url_480,url_360,url_240,thumbnail,duration
"‘With Patience, Put Up With One Another in Love’—Your Children",https://www.jw.org/en/library/videos/#en/mediaitems/FamilyChallenges/pub-mwbv_202507_1_VIDEO,Family,Family Challenges,,https://akamd1.jw-cdn.org/sg2/p/409d35/1/o/mwbv_E_202507_01_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/ae2c5b/1/o/mwbv_E_202507_01_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/dd3cb19/1/o/mwbv_E_202507_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/e81ee23/1/o/mwbv_E_202507_01_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/mwbv/202507/univ/art/mwbv_univ_202507_wss_01_lg.jpg,3:56
Troy Snyder: Our Role in Sanctifying Jehovah’s Name (Matt. 6:9),https://www.jw.org/en/library/videos/#en/mediaitems/VODPgmEvtMorningWorship/pub-jwbvod25_26_VIDEO,Programs and Events,Morning Worship,,https://akamd1.jw-cdn.org/sg2/p/43a959/1/o/jwbvod25_E_26_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/11422d6/1/o/jwbvod25_E_26_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/ff5682/1/o/jwbvod25_E_26_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/fc735b4/1/o/jwbvod25_E_26_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/jwbvod25/univ/art/jwbvod25_univ_wss_26_lg.jpg,9:41
Ralph Walls: Speech That Builds Up (Mal. 3:16-18),https://www.jw.org/en/library/videos/#en/mediaitems/VODPgmEvtMorningWorship/pub-jwbvod25_25_VIDEO,Programs and Events,Morning Worship,,https://akamd1.jw-cdn.org/sg2/p/47c9829/1/o/jwbvod25_E_25_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/8a403c3/1/o/jwbvod25_E_25_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/9778a0/1/o/jwbvod25_E_25_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/452d179/1/o/jwbvod25_E_25_r240P.mp4,https://cms-imgp.jw-cdn.org/img/p/jwbvod25/univ/art/jwbvod25_univ_wss_25_lg.jpg,9:23
